#plate,mjd,fiberid,run2d,specobj_id,ra,dec,z,zerr,zwarning,class,subclass
2961,54550,550,'26',Decimal('3333940883346188288'),140.75877,33.168411,0.176008,7e-06,0,'GALAXY',''
3175,54828,372,'104',Decimal('3574834539807219712'),129.1847,48.394971,0.00018,7e-06,0,'GALAXY',''
3290,54941,314,'104',Decimal('3704297088071344128'),253.42525,22.025823,0.000163,6e-06,0,'GALAXY',''
3324,54943,272,'104',Decimal('3742566140065456128'),151.449,54.227682,0.000121,9e-06,0,'GALAXY',''
3480,54999,228,'104',Decimal('3918194431844524032'),250.62426,31.671145,0.724053,0.068995,0,'GALAXY',''
3676,55186,109,'v5_7_0',Decimal('4138838106252701696'),118.91782,43.503028,0.131927,2.7e-05,0,'GALAXY',''
3788,55246,275,'v5_7_0',Decimal('4264984526558261248'),168.38539,-2.214817,0.475327,2.6e-05,0,'GALAXY','AGN BROADLINE'
3942,55338,939,'v5_7_0',Decimal('4438555632685740032'),237.33455,23.475732,0.085689,6e-06,0,'GALAXY','STARBURST'
3946,55659,189,'v5_7_0',Decimal('4442853079268388864'),238.09484,25.733942,0.145528,2.1e-05,0,'GALAXY','STARFORMING'
4079,55363,773,'v5_7_0',Decimal('4592758290610057216'),317.38209,8.020802,0.133271,1.3e-05,0,'GALAXY',''
4181,55685,230,'v5_7_0',Decimal('4707450827806797824'),253.31274,23.828602,0.103331,1.5e-05,0,'QSO','AGN'
4312,55511,732,'v5_7_0',Decimal('4855081701393231872'),18.375212,4.464441,0.059143,5.2e-05,0,'QSO','BROADLINE'
4317,55480,655,'v5_7_0',Decimal('4860690034808516608'),330.49974,4.586563,0.417388,1.1e-05,0,'GALAXY','AGN'
4320,55894,922,'v5_7_0',Decimal('4864141133875965952'),337.52225,4.577472,0.124007,9e-06,0,'GALAXY','AGN BROADLINE'
4350,55556,266,'v5_7_0',Decimal('4897737805503590400'),25.784597,-2.78773,0.205248,2.6e-05,0,'GALAXY',''
4352,55533,227,'v5_7_0',Decimal('4899978884693028864'),21.604723,-2.86412,0.132838,1.3e-05,0,'GALAXY','STARFORMING'
4391,55866,835,'v5_7_0',Decimal('4944056112414126080'),35.704239,-5.566967,0.068774,8e-06,0,'GALAXY','STARFORMING'
4745,55892,18,'v5_7_0',Decimal('5342400104622649344'),122.0879,0.843144,0.101557,1.6e-05,0,'GALAXY','AGN BROADLINE'
4755,55660,45,'v5_7_0',Decimal('5353666521502248960'),191.90055,2.86942,0.433014,6.3e-05,0,'QSO','AGN BROADLINE'
4767,55946,889,'v5_7_0',Decimal('5367409322136104960'),174.57661,6.105598,0.498969,3.6e-05,0,'QSO','AGN BROADLINE'
4776,55652,25,'v5_7_0',Decimal('5377304921853587456'),228.391,4.039686,0.217471,3.5e-05,0,'QSO','BROADLINE'
5001,55719,40,'v5_7_0',Decimal('5630636525185855488'),260.98104,29.318955,0.200849,4.1e-05,0,'GALAXY',''
5022,55827,133,'v5_7_0',Decimal('5654305988686835712'),329.51222,18.746637,0.40948,1.3e-05,0,'GALAXY','AGN'
5042,55856,436,'v5_7_0',Decimal('5676907275316031488'),334.81208,13.605411,1.0003,2.3e-05,0,'GALAXY',''
5068,55749,474,'v5_7_0',Decimal('5706191116459241472'),332.16062,7.777748,0.160856,2.8e-05,0,'GALAXY',''
5129,55864,169,'v5_7_0',Decimal('5774787174944403456'),23.982825,16.338946,0.185071,7.6e-05,0,'QSO','BROADLINE'
5309,55929,249,'v5_7_0',Decimal('5977471149499150336'),141.60956,7.757658,0.07884,7e-06,0,'GALAXY','STARBURST'
5357,55956,673,'v5_7_0',Decimal('6031630893713125376'),164.48211,12.390671,0.180892,1.4e-05,0,'GALAXY','STARBURST'
